上海,<h1>7日（今天）</h1>,雷阵雨转多云,38,29
上海,<h1>8日（明天）</h1>,雷阵雨转大雨,36,28
上海,<h1>9日（后天）</h1>,中雨,31,26
上海,<h1>10日（周四）</h1>,小雨转多云,32,26
上海,<h1>11日（周五）</h1>,多云,33,27
上海,<h1>12日（周六）</h1>,阴转小雨,33,27
上海,<h1>13日（周日）</h1>,中雨转多云,32,28
北京,['7日（今天）'],晴转多云，西部、北部山区有雷阵雨或阵雨转多云间晴,36,24
北京,['8日（明天）'],多云间阴，西部、北部地区有雷阵雨或阵雨转雷阵雨,33,23
北京,['9日（后天）'],雷阵雨转阴,29,22
北京,['10日（周四）'],多云转阴,31,24
北京,['11日（周五）'],雷阵雨,28,22
北京,['12日（周六）'],多云,30,23
北京,['13日（周日）'],雷阵雨转阴,28,22
郑州,,雷阵雨,32,24
郑州,,多云转晴,34,23
郑州,,晴,36,25
郑州,,晴转多云,35,26
郑州,,多云转雷阵雨,34,25
郑州,,雷阵雨,32,24
郑州,,多云转小雨,33,25
